Company,Company Location,Country of Bean Origin,Cocoa Percent,Ingredients,Most Memorable Characteristics,Rating
Ambrosia,Canada,Madagascar,66,"2- B,S","fruity, sour ",3.25
Ambrosia,Canada,Dominican Republic,75,"2- B,S","high roast, high astringnet",3.25
Ambrosia,Canada,Papua New Guinea,63,"2- B,S","smokey, savory",3.25
Ambrosia,Canada,Venezuela,70,"2- B,S","sandy, roasty, nutty",3.25
Ambrosia,Canada,Belize,64,"4- B,S,C,L","roasty, brownie, nutty",3
Amedei,Italy,Blend,70,"3- B,S,C","nut, fatty, rubbery, rich",2.75
Amedei,Italy,Blend,75,"4- B,S,C,V","sweet, delicate, complex",3.5
Amedei,Italy,Madagascar,70,"4- B,S,C,V","vanilla, mint, roasty",3
Amedei,Italy,Venezuela,70,"4- B,S,C,V","vanilla, nuts, roasty",3
Amedei,Italy,Venezuela,70,"4- B,S,C,V","nutty, mild roasty, vanilla",3
Amedei,Italy,Peru,70,"4- B,S,C,V","creamy, raspberry, nutty",3.75
Amedei,Italy,Venezuela,70,"4- B,S,C,V","creamy, fruit, cocoa",3.75
Amedei,Italy,Grenada,70,"4- B,S,C,V",fruity with coffee notes,3.5
Amedei,Italy,Trinidad,70,"4- B,S,C,V","coffee, fruit, woodsy",3.5
Amedei,Italy,Blend,63,"4- B,S,C,V","fatty, dairy, caramel, cocoa",3.5
Amedei,Italy,Ecuador,70,"4- B,S,C,V","creamy, earthy, vegetal",3
Amedei,Italy,Jamaica,70,"4- B,S,C,V","sandy, woody, spicy",3
Amedei,Italy,Blend,66,"4- B,S,C,V","red wine, rich cocoa, long",3.75
AMMA,Brazil,Brazil,75,"4- B,S,C,L","grainy, sweet, poor aftertaste",3.25
AMMA,Brazil,Brazil,60,"4- B,S,C,L","creamy, sweet,cocoa,banana",4
AMMA,Brazil,Brazil,50,"4- B,S,C,L","very sweet, bright red, banana",3.75
AMMA,Brazil,Brazil,75,"4- B,S,C,L","roasty, fatty, nutty, coffee",3.75
AMMA,Brazil,Brazil,85,"4- B,S,C,L","creamy, red berry, bitter",2.75
Anahata,U.S.A.,Dominican Republic,75,"2- B,S","chalky, mild fruit, burnt",3
Animas,U.S.A.,Guatemala,75,"2- B,S","orange citrus, harsh earthiness",3.25
Animas,U.S.A.,Belize,75,"2- B,S","burnt toast, cherry",3
Animas,U.S.A.,Bolivia,75,"2- B,S","light roast, caramel, cocoa",3.5
Ara,France,Madagascar,75,"3- B,S,C","sandy, fruity, short",3
Ara,France,Venezuela,75,"3- B,S,C","nutty, mild spice, mild earthy",3
Ara,France,Ecuador,75,"3- B,S,C","bitter, floral, leather",2.75
Ara,France,Mexico,72,"3- B,S,C","earthy, sour milk, leather",2.5
Arete,U.S.A.,India,70,"3- B,S,C","herbs, mushroom, acidic",3.25
Arete,U.S.A.,India,70,"3- B,S,C","burn butterscotch, rubbery",3
Arete,U.S.A.,Colombia,70,"2- B,S","smooth, nutty, cocoa",4
Arete,U.S.A.,Trinidad,70,"2- B,S","nuts, dried fruit, short",3
Arete,U.S.A.,Bolivia,70,"2- B,S","creamy, bright fruit",4
Arete,U.S.A.,Haiti,70,"2- B,S","long lasting, cocoa",4
Arete,U.S.A.,India,70,"2- B,S","slight roasty, basic cocoa",3.5
Arete,U.S.A.,Madagascar,70,"3- B,S,C",sour fruit,3.5
Arete,U.S.A.,Vietnam,73,"3- B,S,C","rich cocoa, mild roasty",3.5
Arete,U.S.A.,Peru,70,"3- B,S,C","dried fruit, fig, anise",3.5
Arete,U.S.A.,Costa Rica,70,"2- B,S","balanced, cherry, choco",4
Arete,U.S.A.,Peru,70,"2- B,S","creamy, complex, balanced",4
Arete,U.S.A.,Tanzania,70,"2- B,S","appealing smoke, woody",3.75
Arete,U.S.A.,Nicaragua,70,"3- B,S,C","muddy, rich cocoa, raspberry",3.75
Arete,U.S.A.,Dominican Republic,70,"2- B,S","dark berry, chocolatey",3.75
Arete,U.S.A.,Trinidad,70,"2- B,S","delicate, simple",3.5
Arete,U.S.A.,Vietnam,73,"3- B,S,C","cashew, roasty, chunky melt",3.5
Arete,U.S.A.,Guatemala,70,"2- B,S","subtle, mysterious",3.5
Arete,U.S.A.,Honduras,70,"2- B,S","nutty, green",3.5
Arete,U.S.A.,Ecuador,70,"3- B,S,C","sticky, floral, roasty",3.25
Arete,U.S.A.,Ecuador,70,"3- B,S,C","chewy, mild floral",3.25
Arete,U.S.A.,Fiji,70,"2- B,S","smoke, hammy, cocoa base",3.25
Arete,U.S.A.,Vietnam,73,"2- B,S","earthy, nutty, cardboard",3.25
Arete,U.S.A.,Nicaragua,70,"2- B,S","creamy,sticky, peanut butter",4
Arete,U.S.A.,Ecuador,70,"2- B,S","spicy, cocoa",3.75
Arete,U.S.A.,Belize,70,"2- B,S","floral, strawberry, metallic",3.75
Arete,U.S.A.,Brazil,70,"2- B,S","creamy, rich, rum, roasty",3.5
Arete,U.S.A.,Peru,68,"2- B,S","floral, nutty, rich cocoa",3.5
Arete,U.S.A.,Dominican Republic,70,"2- B,S","spicy, brownie, nutty",3.5
Arete,U.S.A.,Ecuador,75,"3- B,S,C","intense, floral, bourbon",3.5
Arete,U.S.A.,Guatemala,70,"2- B,S","strawberry, butterscotch, off",3.25
Arete,U.S.A.,Brazil,75,"2- B,S","floral, chemical off",2.75
Argencove,Nicaraqua,Nicaragua,80,"3- B,S,C","bold, smooth, rich cocoa, citrus",3.75
Argencove,Nicaragua,Nicaragua,70,"2- B,S","smooth, vegetal",3.5
Argencove,Nicaragua,Nicaragua,70,"2- B,S","roasty, rich cocoa",3.5
Argencove,Nicaragua,Nicaragua,70,"2- B,S","melon, late hammy",3.25
Argencove,Nicaragua,Nicaragua,70,"2- B,S","cocoa, earthy, hammy",3
Aroko,Italy,Venezuela,72,"3- B,S,C","strong nutty, rich cocoa",3.5
Aroko,Italy,Venezuela,70,"3- B,S,C","mild fruit, chocolatey",3.5
Artisan du Chocolat,U.K.,Trinidad,72,"3- B,S,C","gritty, nutty",3.25
Artisan du Chocolat,U.K.,Colombia,72,"3- B,S,C","marshmallow, roasty, nutty",3.75
Artisan du Chocolat,U.K.,Haiti,72,"3- B,S,C","nuts, butterscotch, brownie",4
Artisan du Chocolat,U.K.,Panama,72,"3- B,S,C","blackpepper,chemical,rubber",2.75
Artisan du Chocolat,U.K.,Jamaica,72,"3- B,S,C","grassy, black licorice, mint",3.75
Artisan du Chocolat,U.K.,Indonesia,72,"3- B,S,C",black pepper and banana,3.5
Artisan du Chocolat,U.K.,Costa Rica,72,"3- B,S,C","chewy, grassy, nutty",3.25
Artisan du Chocolat,U.K.,Vietnam,72,"3- B,S,C","unrefined, distinct spicey",3.25
Artisan du Chocolat,U.K.,Venezuela,100, ,"very nutty, very bitter",1.75
Artisan du Chocolat,U.K.,Dominican Republic,72,"3- B,S,C","spice, cocoa, short",3.25
Artisan du Chocolat,U.K.,Madagascar,80,"3- B,S,C","sl. bitter, cherry, rich",3
Artisan du Chocolat,U.K.,Peru,75,"3- B,S,C","spicey, mild metallic",3
Artisan du Chocolat,U.K.,Indonesia,72,"3- B,S,C","gritty, very smokey, sour",2.75
Artisan du Chocolat,U.K.,Venezuela,75,"3- B,S,C","oily, nutty, burnt, sour",2.5
Artisan du Chocolat,U.K.,Brazil,72,"3- B,S,C","cocoa, dominate off note",1.75
Artisan du Chocolat,U.K.,Congo,72,"3- B,S,C","spicy, minty, vegetal",3.75
Artisan du Chocolat (Casa Luker),U.K.,Colombia,72,"4- B,S,C,L","creamy, marshmallow, off",2.75
Aruntam,Italy,Venezuela,70,"4- B,S,C,L","slow, mild plum, caramel, sour",3
Aruntam,Italy,Nicaragua,73,"4- B,S,C,L","harsh, tobacco, burnt, woody",3
Aruntam,Italy,Peru,70,"4- B,S,C,L","grapes, pinapple, mint",3
Aruntam,Italy,Tanzania,72,"4- B,S,C,L","caramel, sour milk",3.5
Aruntam,Italy,India,72,"4- B,S,C,L","cinamon, nutmeg, fatty",3.25
Aruntam,Italy,Madagascar,72,"4- B,S,C,L","strawberry, sour",3.25
Askinosie,U.S.A.,Tanzania,68,"3- B,S,C","creamy, rich, blueberry",3.75
Askinosie,U.S.A.,Tanzania,72,"2- B,S","creamy, woody, cocoa",3.75
Askinosie,U.S.A.,Honduras,70,"2- B,S","grapes, woody, roasty",3.75
Askinosie,U.S.A.,Philippines,77,"2- B,S","strawberries, mild tart, roasty",3.75
Askinosie,U.S.A.,Ecuador,70,"2- B,S","smooth, astringent, cocoa",3
Askinosie,U.S.A.,Mexico,75,"2- B,S","leather, black licorice, off",2.5
Atypic,Australia,Solomon Islands,70,"4- B,S,C,L","off aroma,vegetal,honey,sandy",3
Audaces,France,France (Reunion),70,"2- B,S","woody, nut skins, medicinal",2.75
Auro,Philippines,Philippines,70,"3- B,S,C","long, bright fruit, sweet, sour",3.5
Auro,Philippines,Philippines,70,"3- B,S,C","waxy, dried fruit",3
Auro,Philippines,Philippines,70,"3- B,S,C","sandy, roasty, nutty",3
Auro,Philippines,Philippines,77,"4- B,S,V,L","sandy, vanilla",2.75
Avanaa,Canada,Dominican Republic,70,"2- B,S","intense, sour tart plum, rubber",3
Avanaa,Canada,Colombia,70,"2- B,S","chemical, spice, earthy",2.5
Bahen & Co.,Australia,Papua New Guinea,70,"2- B,S","smoke, ham, papaya",3.5
Bahen & Co.,Australia,Blend,80,"2- B,S","coarse, smokey, metallic",3.25
Bahen & Co.,Australia,Madagascar,70,"2- B,S","unrefined, flat, grassy",3
Bahen & Co.,Australia,Brazil,70,"2- B,S","chalky, intense, chemical",2.5
Bahen & Co.,Australia,Blend,70,"2- B,S","chalky, fragrant, then off",2.5
Baiani,Brazil,Brazil,70,"2- B,S","bland, sugary, large grits",3
Bakau,Peru,Peru,70,"3- B,S,C","black pepper, cardamom",3.5
Bakau,Peru,Peru,70,"3- B,S,C","molasses, caramel, pungent",2.75
Bankston,U.S.A.,Tanzania,72,"3- B,S,C","base cocoa, mild fruit, roasty",3.25
Bankston,U.S.A.,Uganda,82,"3- B,S,C","bitter, fatty, mild fruit",2.75
Bankston,U.S.A.,Belize,72,"3- B,S,C","gritty, fatty, sour, off",2.5
Bar Au Chocolat,U.S.A.,Costa Rica,72,"2- B,S","slightly dry, cocoa, berry",3.5
Bar Au Chocolat,U.S.A.,Trinidad,80,"2- B,S","intense, tangy, alcohol",3.5
Bar Au Chocolat,U.S.A.,Brazil,70,"2- B,S","intense, smokey, dried fruit",3.5
Bar Au Chocolat,U.S.A.,Peru,70,"2- B,S","creamy, rounded, orange",4
Bar Au Chocolat,U.S.A.,Madagascar,70,"2- B,S","raspberry, mild sour",3.75
Bar Au Chocolat,U.S.A.,Mexico,70,"2- B,S","molasses,toffee,coffee grounds",3.5
Bar Au Chocolat,U.S.A.,Dominican Republic,70,"2- B,S","complex,black pepper,coffee",3.25
Baravelli's,Wales,Costa Rica,80,"4- B,S,C,V","gritty, floral, vanilla",2.75
Bare Bones,Scotland,Madagascar,70,"3- B,S,C","mild fruit, strong cocoa",3.5
Bare Bones,U.K.,Guatemala,65,"3- B,S,C","sweet, honey, earthy, cocoa",3.25
Batch,U.S.A.,Brazil,70,"3- B,S,C","strawberry, candy flavor",3.75
Batch,U.S.A.,Dominican Republic,65,"3- B,S,C","creamy, sweet, fudgey",3.5
Batch,U.S.A.,Ecuador,65,"3- B,S,C","sandy, floral, sweet",3.25
Bean,U.K.,Peru,70,"4- B,S,C,V","strong vanilla, off notes",2.25
Beaningul,Lithuania,Peru,70,"3- B,S,C","fig, slight caramel",3.25
Beaningul,Lithuania,India,70,"3- B,S,C","nutmeg, prune, tobacco",3.25
Beau Cacao,U.K.,Malaysia,72,"3- B,S,C","smokey, woody, tobacco",3.25
Beau Cacao,U.K.,Malaysia,73,"3- B,S,C","caramel, spice, earthy",3
Beehive,U.S.A.,Brazil,80,"3- B,S,C","intense, bitter, dry",2.75
Beehive,U.S.A.,Dominican Republic,70,"3- B,S,C","sandy, sweet, molasses",2.75
Beehive,U.S.A.,Ecuador,70,"3- B,S,C","intense, floral, black pepper",2.75
Beehive,U.S.A.,Ecuador,90,"3- B,S,C","intense floral, bitter, earthy",2.75
Belcolade,Belgium,Ecuador,71,"4- B,S,C,L","dry, cinamon, nutmeg",3.5
Belcolade,Belgium,Costa Rica,64,"4- B,S,C,L","pastey, nutty",2.75
Belcolade,Belgium,Papua New Guinea,64,"4- B,S,C,L","intense, smokey",2.75
Belcolade,Belgium,Peru,64,"4- B,S,C,L","sticky, moss, nuts",2.75
Bellflower,U.S.A.,Tanzania,70,"3- B,S,C","sticky, delicate, melon",3.5
Bellflower,U.S.A.,Dominican Republic,70,"2- B,S","caramel, mild dried fruit",3.5
Bellflower,U.S.A.,Bolivia,70,"3- B,S,C","oily, complex, pungent",3.25
Belvie,Vietnam,Vietnam,70,"3- B,S,C","burnt, black pepper, grapefruit",2.5
Belvie,Vietnam,Vietnam,75,"3- B,S,C","sour, dairy, dirty",2.5
Belvie,Vietnam,Vietnam,70,"3- B,S,C",dominate cocoa notes,3.75
Belvie,Vietnam,Vietnam,75,"3- B,S,C","high acidity, nutty, roasty",3.25
Belyzium,Germany,Belize,83,"3- B,S,C","balanced, complex, berry",3.5
Belyzium,Germany,Belize,78,"3- B,S,C","sweet, nibby, green",3
Belyzium,Germany,Belize,83,"3- B,S,C","unbalanced, tangy, pungent",2.75
Benns,Singapore,Vietnam,72,"4- B,S,C,L","gummy, roasty, fatty",3
Benns,Singapore,India,72,"4- B,S,C,L","gummy, fatty, sour",3
Benns,Singapore,Malaysia,72,"4- B,S,C,L","off aroma, smokey, off note",3
Benoit Nihant,Belgium,Ecuador,73,"4- B,S,C,L","floral, melon, spicy",3.5
Benoit Nihant,Belgium,Venezuela,74,"4- B,S,C,L","delicate, nutty, caramel, sl. Off",3
Benoit Nihant,Belgium,Ecuador,73,"3- B,S,C",cinamon and nutmeg,4
Benoit Nihant,Belgium,Cuba,74,"3- B,S,C","tobacco, dairy, sour",3.5
Benoit Nihant,Belgium,Venezuela,74,"3- B,S,C","nutty, roasty, dairy",3.5
Benoit Nihant,Belgium,Venezuela,74,"3- B,S,C","mocha, intense, sweet",3.5
Benoit Nihant,Belgium,Indonesia,72,"3- B,S,C","smokey, raspberries, cocoa",4
Benoit Nihant,Belgium,Madagascar,72,"3- B,S,C","intense,red berry,strawberry",3.75
Bernachon,France,Blend,55,"5- B,S,C,V,L","sweet, vanilla, cocoa ",2.75
Beschle (Felchlin),Switzerland,Ecuador,72,"3- B,S,C","creamy, nutty, cocoa",4
Beschle (Felchlin),Switzerland,Venezuela,72,"3- B,S,C","creamy, banana, rich",3.5
Beschle (Felchlin),Switzerland,Madagascar,64,"3- B,S,C","chunky, nutty, banana",3
Beschle (Felchlin),Switzerland,Venezuela,88,"3- B,S,C","bitter then nutty rustic, earthy",3
Beschle (Felchlin),Switzerland,Indonesia,64,"3- B,S,C","ham-like, smokey, banana",3.5
Beschle (Felchlin),Switzerland,Venezuela,72,"3- B,S,C","dark cocoa, spicy pepper",3.5
Beschle (Felchlin),Switzerland,Venezuela,70,"3- B,S,C","creamy, macadamia, pepper",3.25
Beschle (Felchlin),Switzerland,Venezuela,74,"3- B,S,C","nutty, light toffee, mild musty",3.25
Bisou,U.S.A.,Belize,86,"4- B,S,C,V","mild bitter, diluted, vanilla",3.25
Bisou,U.S.A.,Nicaragua,76,"2- B,S","bitter, molasses, flour",2.5
Bisou,U.S.A.,Costa Rica,76,"2- B,S","molasses, metallic, earthy",2.5
Bisou,U.S.A.,Costa Rica,78,"4- B,S,C,V","sour, tart, molasses",2.5
Bitacora,Venezuela,Venezuela,70,"4- B,S,C,L","smooth texture, earthy, nutty",3.5
Bitacora,Venezuela,Venezuela,70,"4- B,S,C,L","gritty, spicy, earthy",3
Bitacora,Venezuela,Venezuela,70,"4- B,S,C,L","fatty, bland, nutty",3
Bittersweet Origins,U.S.A.,Ghana,72,"3- B,S,C","roasted nuts, rich, roasty",3.5
Bittersweet Origins,U.S.A.,Blend,70,"2- B,S","robust, cocoa, fruity",3.75
Bittersweet Origins,U.S.A.,Indonesia,75,"2- B,S","dry, cardamom, medicinal",3.25
Bittersweet Origins,U.S.A.,Madagascar,70,"2- B,S","red berry, strong wine, sour",3
Bittersweet Origins,U.S.A.,Venezuela,78,"2- B,S","nutty, mild bitter",3
Bittersweet Origins,U.S.A.,Indonesia,65,"2- B,S","pastey, off spicey, nutty",2.75
Bittersweet Origins,U.S.A.,Dominican Republic,65,"2- B,S","intense marshmallow, cocoa",3.5
Bittersweet Origins,U.S.A.,Madagascar,65,"2- B,S",chocolate covered cherries,3.5
Bittersweet Origins,U.S.A.,Madagascar,75,"2- B,S","rustic, red berry, woody",3.25
Bittersweet Origins,U.S.A.,Dominican Republic,75,"2- B,S","chalky, strong, harsh smoke",3
Bittersweet Origins,U.S.A.,Dominican Republic,68,"2- B,S","nutty, astringent",3.75
Bittersweet Origins,U.S.A.,Panama,75,"2- B,S","intense, rum, tea",3.5
Bittersweet Origins,U.S.A.,Madagascar,71,"2- B,S","rich cocoa, red berry, sour",3
Bittersweet Origins,U.S.A.,Ghana,70,"2- B,S","nutmeg, sour",3
Bixby,U.S.A.,Belize,70,"2- B,S","swee, cocoa, cookie",3
Bixby,U.S.A.,Dominican Republic,70,"2- B,S","sweet, sour milk",3.25
Bixby,U.S.A.,Haiti,70,"2- B,S","floral, molasses, chemical",3
Bixby,U.S.A.,Guatemala,70,"2- B,S","molasses, earthy, spicy",3
Black Mountain,U.S.A.,Dominican Republic,70,"4- B,S,C,L","bright fruit, crisp nibs, cocoa",3.75
Black Mountain,U.S.A.,Nicaragua,70,"3- B,S,C","rich, leather, woodsy",3
Black Mountain,U.S.A.,Dominican Republic,70,"3- B,S,C","unrefined, fruity",2.75
Black Mountain,U.S.A.,Venezuela,70,"3- B,S,C","sweet grass, muted spice",2.75
Black River (A. Morin),U.K.,Jamaica,70,"4- B,S,C,L","fatty, nutty",2.75
Black Sheep,U.S.A.,Colombia,72,"3- B,S,C","burnt caramel, cocoa, floral",3.25
Black Sheep,U.S.A.,Belize,72,"3- B,S,C",honey with subtle tobacco,3.25
Blanxart,Spain,Congo,82,"4- B,S,C,V","complex, fruity, mild bitter",3.5
Blanxart,Spain,Blend,72,"4- B,S,C,V","oily, flat, woody, sour",2.75
Blue Bandana,U.S.A.,Madagascar,82,"2- B,S","sandy, tart, sour, sweet",3.5
Blue Bandana,U.S.A.,Tanzania,75,"2- B,S","bready, melon",3.5
Blue Bandana,U.S.A.,Dominican Republic,75,"2- B,S","astringent, sour, coffee",3
Blue Bandana,U.S.A.,Guatemala,75,"2- B,S","roasty, coffee, earthy",2.75
Blue Bandana,U.S.A.,Madagascar,70,"3- B,S,C","gritty, tart red berry,powerful",3.75
Blue Bandana,U.S.A.,Guatemala,70,"3- B,S,C","chewy, complex,black pepper",3.5
Boho,U.S.A.,Belize,70,"3- B,S,C",pungent off flavor,2.75
